subsr,chnl_nm,in_dt,use_tms,pgm_nm,SMRY,ACTR_DISP
67288000,OCN무비즈2,20240301045017,7,황산벌,"오늘의 현실을 누구나 알고 있는 역사의 한 장면에 빗대어 웃음과 쾌감을 불러오는 정치풍자만화 같은 <황산벌>은 유려한 형식이나 세련된 표현의 미를 찾는 이들에겐 거칠고 투박해 보여도 다른 영화에서 볼 수 없는 촌철살인의 미학이 있다. 그것은 계백의 머리를 칼로 내리칠 때, 그의 뇌리를 스쳤던 아내의 울부짖음 같은 것이다. 사내들의 대의명분과 비장함을 깔아뭉개는 그녀의 항변은 잊지 못할 잔영을 남기진 않지만 그 공명은 오래 깊이 울려퍼진다. 별안간 뒤통수를 치는 그런 공감이 <황산벌>을 좋은 코미디로 기억하게 만드는 강력한 이유라 할 수 있다.","정진영,이문식,박중훈,김병서,이호성,안내상,류승수,신정근"
66611000,OCN무비즈2,20240301190841,15,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
60291000,OCN무비즈2,20240301015541,52,부당거래,"<짝패>의 류승완 감독이 다시 메가폰을 잡고, <사생결단>의 황정민과 류승범, <이끼>의 유해진이 손을 잡아 만든 범죄드라마","유해진,류승범,황정민"
65884000,OCN무비즈2,20240301205844,4,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
60201000,OCN무비즈2,20240301024957,1353,부당거래,"<짝패>의 류승완 감독이 다시 메가폰을 잡고, <사생결단>의 황정민과 류승범, <이끼>의 유해진이 손을 잡아 만든 범죄드라마","유해진,류승범,황정민"
66611000,OCN무비즈2,20240301202933,10,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
63352000,OCN무비즈2,20240301190029,92,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
66611000,OCN무비즈2,20240301185709,22,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
67148000,OCN무비즈2,20240301194946,93,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
61181000,OCN무비즈2,20240301202637,4,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
64132000,OCN무비즈2,20240301204826,262,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
66435000,OCN무비즈2,20240301201705,738,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
61130000,OCN무비즈2,20240301185718,557,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호"
65179000,월드클래식무비,20240301110304,5,가문의 부활 - 가문의 영광 3,"우리 이제 착하게 살아! 전직 조폭 가문, 사시미 칼 놓고 부엌칼 들다!! 그런 가문을 탐탁지 않게 바라보는 이가 있었으니..  우리 가문은 우리가 지킨다. 위기에 빠진 가문, 다시 한번 화려한 부활을 시작한다.","김원희,김수미,탁재훈"
65795000,바둑TV,20240301141619,395,제25회 농심신라면배 세계바둑최강전,"",""
66035000,월드클래식무비,20240301110327,1,가문의 부활 - 가문의 영광 3,"우리 이제 착하게 살아! 전직 조폭 가문, 사시미 칼 놓고 부엌칼 들다!! 그런 가문을 탐탁지 않게 바라보는 이가 있었으니..  우리 가문은 우리가 지킨다. 위기에 빠진 가문, 다시 한번 화려한 부활을 시작한다.","김원희,김수미,탁재훈"
64962000,바둑TV,20240301124820,9,제25회 농심신라면배 세계바둑최강전,"",""
62800000,바둑TV,20240301121521,63,제25회 농심신라면배 세계바둑최강전,"",""
62408000,캐치온2,20240301050633,5,사일런트 나이트,"","키이라 나이틀리,매튜 구드"
62493000,캐치온2,20240301044316,24,사일런트 나이트,"","키이라 나이틀리,매튜 구드"
60311000,KBS1,20240301200644,14,KBS 생생토론,지역의 주요 현안과 이슈를 집중 진단하는 시사 토론 프로그램,""
64915000,J골프&스포츠,20240301220427,7,2024 PGA투어 카그니전트 클래식,"",""
64124000,J골프&스포츠,20240301055316,301,2024 PGA투어 카그니전트 클래식,"",""
60026000,J골프&스포츠,20240301092147,4980,2024 PGA투어 카그니전트 클래식,"",""
61669000,OCN무비즈,20240301165909,3464,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
64743000,OCN무비즈,20240301013506,463,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
62252000,OCN무비즈,20240301004227,7,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
65876000,OCN무비즈,20240301170634,1537,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
64672000,OCN무비즈,20240301011230,6,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
67039000,OCN무비즈,20240301180526,1,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
66717000,OCN무비즈,20240301170706,797,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
66177000,OCN무비즈,20240301174528,0,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
65748000,OCN무비즈,20240301162537,4,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
60544000,OCN무비즈,20240301162522,15,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
61135000,OCN무비즈,20240301172135,2030,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
67039000,OCN무비즈,20240301180547,10,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
66270000,K바둑,20240309113124,4,(생) 센코컵 월드바둑여류최강전 ...,"",""
67304000,K바둑,20240309131423,7,(생) 센코컵 월드바둑여류최강전 ...,"",""
65391000,K바둑,20240309155121,14,(생) 센코컵 월드바둑여류최강전 ...,"",""
65391000,K바둑,20240309155111,7,(생) 센코컵 월드바둑여류최강전 ...,"",""
65947000,K바둑,20240309140503,47,(생) 센코컵 월드바둑여류최강전 ...,"",""
62800000,K바둑,20240309111850,27,(생) 센코컵 월드바둑여류최강전 ...,"",""
60784000,더무비,20240309195525,14,최후의 출격,"","브래드 존슨,대니 글로버,윌렘 데포,로잔나 아퀘트"
61808000,더무비,20240309033521,3,야수,"","유지태,엄지원,권상우"
60544000,더무비,20240309212458,10,최후의 출격,"","브래드 존슨,대니 글로버,윌렘 데포,로잔나 아퀘트"
66009000,더무비,20240309193528,3120,최후의 출격,"","브래드 존슨,대니 글로버,윌렘 데포,로잔나 아퀘트"
64965000,더무비,20240309041606,72,야수,"","유지태,엄지원,권상우"
61808000,더무비,20240309042301,2,야수,"","유지태,엄지원,권상우"
65980000,더무비,20240309042838,0,야수,"","유지태,엄지원,권상우"
66208000,더무비,20240309202809,8,최후의 출격,"","브래드 존슨,대니 글로버,윌렘 데포,로잔나 아퀘트"
65955000,더무비,20240309030154,7,야수,"","유지태,엄지원,권상우"
65934000,부메랑,20240309220159,2558,(음다) 톰과 제리 쇼(45회),"",""
63370000,CNTV,20240309103001,0,희망더하기(28회),"",""
65129000,GS SHOP,20240309150306,22,[오늘의 선택] 기본에 행주티슈,"",""
62052000,채널나우,20240309212003,5,언포게터블(19회),한 번 본 것은 무엇이든 기억하는 특별한 능력인 초기억증후군을 가진 전직 여경찰이 사건을 풀어나간다,"포피 몽고메리,딜란 월쉬,마이클 가스톤,케빈 랜킨"
65599000,채널나우,20240309211958,13,언포게터블(19회),한 번 본 것은 무엇이든 기억하는 특별한 능력인 초기억증후군을 가진 전직 여경찰이 사건을 풀어나간다,"포피 몽고메리,딜란 월쉬,마이클 가스톤,케빈 랜킨"
59893000,CJB,20240309080933,57,SBS 뉴스토리,"",""
